Part ID,X mm,Y mm,Z mm,Solid PLA mass g,Description
J1_BASE_C02_Connector_access_rear_cap,51.2,67.2,4.6,6.743,4.6 mm rear cap; 4 M3 clearance bores matched to cradle. Screws insert from the rear supporting wall and engage front captive nuts. Rear window clears the connector envelope; actual plugs must be checked.
J1_BASE_C04_1_Axial_fit_shim_030,31.9,32.663,0.3,0.08,Printed motor seating spacer 0.30 mm. Uses official STEP seating face; rear aperture clears vendor protrusions. Nominal total endplay 0.10 mm; confirm actual hardware seating and adjust thickness after fit coupon. AX front spacer is one connected U at the side/lower seating flange; nonfunctional upper corner remnants are removed.
J1_BASE_C04_2_Axial_fit_shim_330,31.9,49.9,3.3,1.851,Printed motor seating spacer 3.30 mm. Uses official STEP seating face; rear aperture clears vendor protrusions. Nominal total endplay 0.10 mm; confirm actual hardware seating and adjust thickness after fit coupon. AX front spacer is one connected U at the side/lower seating flange; nonfunctional upper corner remnants are removed.
J1_BASE_C03_1_Screw_stack_spacer,6.8,6.8,1.15,0.039,Printed rear 1.15 mm spacer for standard M3x65 rear-inserted screw; attachment stack depth 20.05 mm.
J1_BASE_C03_2_Screw_stack_spacer,6.8,6.8,1.15,0.039,Printed rear 1.15 mm spacer for standard M3x65 rear-inserted screw; attachment stack depth 20.05 mm.
J1_BASE_C03_3_Screw_stack_spacer,6.8,6.8,1.15,0.039,Printed rear 1.15 mm spacer for standard M3x65 rear-inserted screw; attachment stack depth 20.05 mm.
J1_BASE_C03_4_Screw_stack_spacer,6.8,6.8,1.15,0.039,Printed rear 1.15 mm spacer for standard M3x65 rear-inserted screw; attachment stack depth 20.05 mm.
B11_yaw_20T_pinion,32.999,32.999,21.0,8.504,M2×6 through 4 mm counterbore floor into AX horn (2 mm). External printed Ø8 journal support.
B12_yaw_pinion_journal_support,22.0,40.0,11.0,4.474,Ø8.5 printed bearing bore; 0.25 mm radial gap. Top ears attach underside deck.
B19_pinion_support_screw_spacer_0,7.0,7.0,1.5,0.055,
B19_pinion_support_screw_spacer_1,7.0,7.0,1.5,0.055,
B13_motor_floor_standoff_1,10.0,10.0,15.05,1.295,
B13_motor_floor_standoff_2,10.0,10.0,15.05,1.295,
B13_motor_floor_standoff_3,10.0,10.0,15.05,1.295,
B13_motor_floor_standoff_4,10.0,10.0,15.05,1.295,
B15_printed_foot_0,24.0,24.0,8.0,4.193,"Printed 8mm foot clears underside motor screw heads; captive M4 nut, no rubber or metal bearing."
B16_foot_bolt_spacer_0,10.0,10.0,3.1,0.241,
B15_printed_foot_1,24.0,24.0,8.0,4.193,"Printed 8mm foot clears underside motor screw heads; captive M4 nut, no rubber or metal bearing."
B16_foot_bolt_spacer_1,10.0,10.0,3.1,0.241,
B15_printed_foot_2,24.0,24.0,8.0,4.193,"Printed 8mm foot clears underside motor screw heads; captive M4 nut, no rubber or metal bearing."
B16_foot_bolt_spacer_2,10.0,10.0,3.1,0.241,
B15_printed_foot_3,24.0,24.0,8.0,4.193,"Printed 8mm foot clears underside motor screw heads; captive M4 nut, no rubber or metal bearing."
B16_foot_bolt_spacer_3,10.0,10.0,3.1,0.241,
B14_U2D2_tray,60.0,30.0,9.0,9.014,"Cavity49×20, U2D2 nominal48×18×14.9. USB connector revision must be checked."
S_01_rear_support,145.0,90.0,6.0,60.692,Stationary cheek with replaceable polymer journal sleeve; two separate sides carry bending moment.
S_01_front_support,65.0,90.0,6.0,27.464,Stationary cheek with replaceable polymer journal sleeve; two separate sides carry bending moment.
S_02_rear_plain_bushing,38.0,38.0,10.0,5.975,Printed running bore Ø24.5; journal Ø24. Fit coupon first.
S_02_front_plain_bushing,38.0,38.0,10.0,5.975,Printed running bore Ø24.5; journal Ø24. Fit coupon first.
S_03_independent_output_shaft,50.0,50.0,56.8,39.062,"External printed pivot, independent of motor shaft. Shoulder flanges provide axial clearance, not clamped rotating cheeks."
S_04_shaft_retainer,32.0,32.0,3.0,2.929,0.3 mm nominal clearance to rear cheek. Central M4 clamp preloads only rotating shaft and cap.
S_10_retainer_screw_spacer,11.0,11.0,1.1,0.108,
S_05_output_100T,127.5,127.5,12.0,93.187,"5:1 reduction, module1.25, 20 degree pressure angle, pitch diameter125.0."
S_XM_C01_Keyed_motor_cradle,47.7,63.7,36.3,20.045,XM430-W350-T cradle: 0.35 mm per side; 26.0 mm front access window; 4 M3 posts. Front captive M3 nuts: 5.8 AF x 2.8 mm recess in 9.2 mm bosses. Case is located by corners and front/rear lips; no invented motor-body holes.
S_XM_C02_Connector_access_rear_cap,47.7,63.7,4.6,6.11,4.6 mm rear cap; 4 M3 clearance bores matched to cradle. Screws insert from the rear supporting wall and engage front captive nuts. Rear window clears the connector envelope; actual plugs must be checked.
S_XM_C04_1_Axial_fit_shim_030,28.4,46.4,0.3,0.105,Printed motor seating spacer 0.30 mm. Uses official STEP seating face; rear aperture clears vendor protrusions. Nominal total endplay 0.10 mm; confirm actual hardware seating and adjust thickness after fit coupon. AX front spacer is one connected U at the side/lower seating flange; nonfunctional upper corner remnants are removed.
S_XM_C04_2_Axial_fit_shim_050,28.4,46.4,0.5,0.237,Printed motor seating spacer 0.50 mm. Uses official STEP seating face; rear aperture clears vendor protrusions. Nominal total endplay 0.10 mm; confirm actual hardware seating and adjust thickness after fit coupon. AX front spacer is one connected U at the side/lower seating flange; nonfunctional upper corner remnants are removed.
S_XM_C03_1_Screw_stack_spacer,6.8,6.8,3.85,0.129,Printed rear 3.85 mm spacer for standard M3x60 rear-inserted screw; attachment stack depth 15.35 mm.
S_XM_C03_2_Screw_stack_spacer,6.8,6.8,3.85,0.129,Printed rear 3.85 mm spacer for standard M3x60 rear-inserted screw; attachment stack depth 15.35 mm.
S_XM_C03_3_Screw_stack_spacer,6.8,6.8,3.85,0.129,Printed rear 3.85 mm spacer for standard M3x60 rear-inserted screw; attachment stack depth 15.35 mm.
S_XM_C03_4_Screw_stack_spacer,6.8,6.8,3.85,0.129,Printed rear 3.85 mm spacer for standard M3x60 rear-inserted screw; attachment stack depth 15.35 mm.
S_09_motor_mount_standoff_0,8.2,8.2,9.35,0.507,9.35mm rear support gap; shared coaxial M3 mounting stack.
S_09_motor_mount_standoff_1,8.2,8.2,9.35,0.507,9.35mm rear support gap; shared coaxial M3 mounting stack.
S_09_motor_mount_standoff_2,8.2,8.2,9.35,0.507,9.35mm rear support gap; shared coaxial M3 mounting stack.
S_09_motor_mount_standoff_3,8.2,8.2,9.35,0.507,9.35mm rear support gap; shared coaxial M3 mounting stack.
S_06_XM_pinion_20T,27.499,27.499,22.0,6.151,Eight M2×6 with 4.5 mm floor =1.5 mm nominal engagement into XM horn. Check screw length.
S_07_pinion_journal_bridge,46.0,52.0,70.5,22.88,External Ø8.5 polymer bearing; two long legs lie outside both gear sweeps and bolt to rear support plate.
S_11_bridge_screw_spacer_0,7.0,7.0,3.6,0.131,
S_11_bridge_screw_spacer_1,7.0,7.0,3.6,0.131,
S_08_pedestal_foot,152.0,14.0,62.0,147.507,Bears on rotating deck; four matching vertical M3 holes at120×40mm.
A01_hollow_ribbed_link,154.0,56.0,24.0,50.164,100 mm pivot spacing; closed corner rails and 3.5 mm nominal walls. Orient link flat with layer paths across root.
A01_root_bolt_spacer_0,7.0,7.0,1.1,0.04,
A01_root_bolt_spacer_1,7.0,7.0,1.1,0.04,
A01_root_bolt_spacer_2,7.0,7.0,1.1,0.04,
A01_root_bolt_spacer_3,7.0,7.0,1.1,0.04,
E_01_rear_support,126.5,86.0,6.0,54.684,Stationary cheek with replaceable polymer journal sleeve; two separate sides carry bending moment.
E_01_front_support,54.0,54.0,6.0,11.12,Stationary cheek with replaceable polymer journal sleeve; two separate sides carry bending moment.
E_12_front_cheek_tie_0,6.8,6.8,38.0,1.282,"38mm stationary tie between bearing cheeks, shared M3x70 through upper-link mount; front nut recessed clear of rotating flange."
E_12_front_cheek_tie_1,6.8,6.8,38.0,1.282,"38mm stationary tie between bearing cheeks, shared M3x70 through upper-link mount; front nut recessed clear of rotating flange."
E_12_front_cheek_tie_2,6.8,6.8,38.0,1.282,"38mm stationary tie between bearing cheeks, shared M3x70 through upper-link mount; front nut recessed clear of rotating flange."
E_12_front_cheek_tie_3,6.8,6.8,38.0,1.282,"38mm stationary tie between bearing cheeks, shared M3x70 through upper-link mount; front nut recessed clear of rotating flange."
E_02_rear_plain_bushing,34.0,34.0,10.0,5.171,Printed running bore Ø20.5; journal Ø20. Fit coupon first.
E_02_front_plain_bushing,34.0,34.0,10.0,5.171,Printed running bore Ø20.5; journal Ø20. Fit coupon first.
E_03_independent_output_shaft,50.0,50.0,56.8,30.365,"External printed pivot, independent of motor shaft. Shoulder flanges provide axial clearance, not clamped rotating cheeks."
E_04_shaft_retainer,28.0,28.0,3.0,2.229,0.3 mm nominal clearance to rear cheek. Central M4 clamp preloads only rotating shaft and cap.
E_10_retainer_screw_spacer,11.0,11.0,1.1,0.108,
E_05_output_80T,102.5,102.5,10.0,59.92,"4:1 reduction, module1.25, 20 degree pressure angle, pitch diameter100.0."
E_XM_C01_Keyed_motor_cradle,47.7,63.7,36.3,20.045,XM430-W350-T cradle: 0.35 mm per side; 26.0 mm front access window; 4 M3 posts. Front captive M3 nuts: 5.8 AF x 2.8 mm recess in 9.2 mm bosses. Case is located by corners and front/rear lips; no invented motor-body holes.
E_XM_C02_Connector_access_rear_cap,47.7,63.7,4.6,6.11,4.6 mm rear cap; 4 M3 clearance bores matched to cradle. Screws insert from the rear supporting wall and engage front captive nuts. Rear window clears the connector envelope; actual plugs must be checked.
E_XM_C04_1_Axial_fit_shim_030,28.4,46.4,0.3,0.105,Printed motor seating spacer 0.30 mm. Uses official STEP seating face; rear aperture clears vendor protrusions. Nominal total endplay 0.10 mm; confirm actual hardware seating and adjust thickness after fit coupon. AX front spacer is one connected U at the side/lower seating flange; nonfunctional upper corner remnants are removed.
E_XM_C04_2_Axial_fit_shim_050,28.4,46.4,0.5,0.237,Printed motor seating spacer 0.50 mm. Uses official STEP seating face; rear aperture clears vendor protrusions. Nominal total endplay 0.10 mm; confirm actual hardware seating and adjust thickness after fit coupon. AX front spacer is one connected U at the side/lower seating flange; nonfunctional upper corner remnants are removed.
E_XM_C03_1_Screw_stack_spacer,6.8,6.8,3.85,0.129,Printed rear 3.85 mm spacer for standard M3x60 rear-inserted screw; attachment stack depth 15.35 mm.
E_XM_C03_2_Screw_stack_spacer,6.8,6.8,3.85,0.129,Printed rear 3.85 mm spacer for standard M3x60 rear-inserted screw; attachment stack depth 15.35 mm.
E_XM_C03_3_Screw_stack_spacer,6.8,6.8,3.85,0.129,Printed rear 3.85 mm spacer for standard M3x60 rear-inserted screw; attachment stack depth 15.35 mm.
E_XM_C03_4_Screw_stack_spacer,6.8,6.8,3.85,0.129,Printed rear 3.85 mm spacer for standard M3x60 rear-inserted screw; attachment stack depth 15.35 mm.
E_09_motor_mount_standoff_0,8.2,8.2,9.35,0.507,9.35mm rear support gap; shared coaxial M3 mounting stack.
E_09_motor_mount_standoff_1,8.2,8.2,9.35,0.507,9.35mm rear support gap; shared coaxial M3 mounting stack.
E_09_motor_mount_standoff_2,8.2,8.2,9.35,0.507,9.35mm rear support gap; shared coaxial M3 mounting stack.
E_09_motor_mount_standoff_3,8.2,8.2,9.35,0.507,9.35mm rear support gap; shared coaxial M3 mounting stack.
E_06_XM_pinion_20T,27.499,27.499,20.0,5.238,Eight M2×6 with 4.5 mm floor =1.5 mm nominal engagement into XM horn. Check screw length.
E_07_pinion_journal_bridge,16.0,72.0,68.5,18.77,External Ø8.5 polymer bearing; two long legs lie outside both gear sweeps and bolt to rear support plate.
E_11_bridge_screw_spacer_0,7.0,7.0,0.6,0.022,
E_11_bridge_screw_spacer_1,7.0,7.0,0.6,0.022,
A02_elbow_spacer_0,6.8,6.8,6.0,0.202,
A04_elbow_bolt_spacer_0,6.8,6.8,8.1,0.273,
A02_elbow_spacer_1,6.8,6.8,6.0,0.202,
A04_elbow_bolt_spacer_1,6.8,6.8,8.1,0.273,
A02_elbow_spacer_2,6.8,6.8,6.0,0.202,
A04_elbow_bolt_spacer_2,6.8,6.8,8.1,0.273,
A02_elbow_spacer_3,6.8,6.8,6.0,0.202,
A04_elbow_bolt_spacer_3,6.8,6.8,8.1,0.273,
A03_hollow_ribbed_link,104.8,74.0,54.0,59.676,"85mm hollow forearm with integral AX roll bulkhead, sharing42×58 M3 rear mounting pattern."
A03_root_bolt_spacer_0,7.0,7.0,3.1,0.113,
A03_root_bolt_spacer_1,7.0,7.0,3.1,0.113,
A03_root_bolt_spacer_2,7.0,7.0,3.1,0.113,
A03_root_bolt_spacer_3,7.0,7.0,3.1,0.113,
J4_AX_C01_Keyed_motor_cradle,58.0,71.1,58.35,35.812,"AX-12A cradle: 0.35 mm per side; 34.0 mm front access window; 4 M3 posts. Front captive M3 nuts: 5.8 AF x 2.8 mm recess in 9.2 mm bosses. Case is located by corners and front/rear lips; no invented motor-body holes. Integral front annular sleeve Ø40.5, sixteen mm bearing length. Polymer fit/friction trial required."
J4_AX_C02_Connector_access_rear_cap,51.2,67.2,4.6,6.743,4.6 mm rear cap; 4 M3 clearance bores matched to cradle. Screws insert from the rear supporting wall and engage front captive nuts. Rear window clears the connector envelope; actual plugs must be checked.
J4_AX_C04_1_Axial_fit_shim_030,31.9,32.663,0.3,0.08,Printed motor seating spacer 0.30 mm. Uses official STEP seating face; rear aperture clears vendor protrusions. Nominal total endplay 0.10 mm; confirm actual hardware seating and adjust thickness after fit coupon. AX front spacer is one connected U at the side/lower seating flange; nonfunctional upper corner remnants are removed.
J4_AX_C04_2_Axial_fit_shim_330,31.9,49.9,3.3,1.851,Printed motor seating spacer 3.30 mm. Uses official STEP seating face; rear aperture clears vendor protrusions. Nominal total endplay 0.10 mm; confirm actual hardware seating and adjust thickness after fit coupon. AX front spacer is one connected U at the side/lower seating flange; nonfunctional upper corner remnants are removed.
J4_AX_C03_1_Screw_stack_spacer,6.8,6.8,0.2,0.007,Printed rear 0.2 mm spacer for standard M3x50 rear-inserted screw; attachment stack depth 6.0 mm.
J4_AX_C03_2_Screw_stack_spacer,6.8,6.8,0.2,0.007,Printed rear 0.2 mm spacer for standard M3x50 rear-inserted screw; attachment stack depth 6.0 mm.
J4_AX_C03_3_Screw_stack_spacer,6.8,6.8,0.2,0.007,Printed rear 0.2 mm spacer for standard M3x50 rear-inserted screw; attachment stack depth 6.0 mm.
J4_AX_C03_4_Screw_stack_spacer,6.8,6.8,0.2,0.007,Printed rear 0.2 mm spacer for standard M3x50 rear-inserted screw; attachment stack depth 6.0 mm.
W01_supported_roll_output,60.0,60.0,23.5,24.484,"Ø40 printed journal / Ø40.5 fixed sleeve;0.25 radial,0.5 front axial clearance. Four M2×6 on16PCD engage stock horn2mm. Output M3 on48PCD at0°; rear captive nuts."
W02_centred_fixed_pitch_fork,82.5,127.0,72.6,76.515,Neutral roll/pitch axes intersect on centreline. Side cheeks haveØ20.5 journal bores and6mm bearing length. Motor rear mounting42×58mm pattern rotated90°. Continuous printed webs join both cheeks to J4 flange.
W03_moving_pitch_cradle,26.0,68.0,60.0,23.035,"Two removable side trunnions leave central motor bay open. J6 horn41mm ahead of pitch axis; rear capture plate5mm. Four M3 bolted trunnions per side,14PCD,45°."
W04_idler_removable_trunnion,28.0,28.0,12.6,6.382,Ø20 journal throughØ20.5 fork bore;0.3mm axial gap. Four M3×20 into moving cradle; flange does not clamp fixed fork.
W04_drive_removable_trunnion,44.0,44.0,12.6,12.556,Ø20 journal throughØ20.5 fork bore;0.3mm axial gap. Four M3×20 into moving cradle; flange does not clamp fixed fork.
W05_pitch_60T_module1p5,92.999,92.999,8.0,36.305,"60T /20T,20° involute;60mm centres;8mm face. Printed output trunnion carries bending independently from motor horn."
J5_AX_C01_Keyed_motor_cradle,51.2,67.2,39.3,22.886,AX-12A cradle: 0.35 mm per side; 34.0 mm front access window; 4 M3 posts. Front captive M3 nuts: 5.8 AF x 2.8 mm recess in 9.2 mm bosses. Case is located by corners and front/rear lips; no invented motor-body holes.
J5_AX_C02_Connector_access_rear_cap,51.2,67.2,4.6,6.743,4.6 mm rear cap; 4 M3 clearance bores matched to cradle. Screws insert from the rear supporting wall and engage front captive nuts. Rear window clears the connector envelope; actual plugs must be checked.
J5_AX_C04_1_Axial_fit_shim_030,31.9,32.663,0.3,0.08,Printed motor seating spacer 0.30 mm. Uses official STEP seating face; rear aperture clears vendor protrusions. Nominal total endplay 0.10 mm; confirm actual hardware seating and adjust thickness after fit coupon. AX front spacer is one connected U at the side/lower seating flange; nonfunctional upper corner remnants are removed.
J5_AX_C04_2_Axial_fit_shim_330,31.9,49.9,3.3,1.851,Printed motor seating spacer 3.30 mm. Uses official STEP seating face; rear aperture clears vendor protrusions. Nominal total endplay 0.10 mm; confirm actual hardware seating and adjust thickness after fit coupon. AX front spacer is one connected U at the side/lower seating flange; nonfunctional upper corner remnants are removed.
J5_AX_C03_1_Screw_stack_spacer,6.8,6.8,1.2,0.04,Printed rear 1.2 mm spacer for standard M3x50 rear-inserted screw; attachment stack depth 5.0 mm.
J5_AX_C03_2_Screw_stack_spacer,6.8,6.8,1.2,0.04,Printed rear 1.2 mm spacer for standard M3x50 rear-inserted screw; attachment stack depth 5.0 mm.
J5_AX_C03_3_Screw_stack_spacer,6.8,6.8,1.2,0.04,Printed rear 1.2 mm spacer for standard M3x50 rear-inserted screw; attachment stack depth 5.0 mm.
J5_AX_C03_4_Screw_stack_spacer,6.8,6.8,1.2,0.04,Printed rear 1.2 mm spacer for standard M3x50 rear-inserted screw; attachment stack depth 5.0 mm.
W06_pitch_20T_pinion,32.999,32.999,16.5,6.822,FourM2×6 at16PCD through4mm floor =>2mm horn engagement. ExternalØ8 printed front journal.
W07_pitch_pinion_journal_bridge,85.0,45.0,59.95,19.228,Ø8.5 running bore; two independent columns attach motor rear plate using M3×65. Install after horn screws.
W08_pinion_bridge_foot_-15,9.0,9.0,1.0,0.068,
W09_bridge_head_spacer_-15,7.0,7.0,1.45,0.053,
W08_pinion_bridge_foot_50,9.0,9.0,1.0,0.068,
W09_bridge_head_spacer_50,7.0,7.0,1.45,0.053,
J6_AX_C01_Keyed_motor_cradle,58.0,71.1,58.35,35.812,"AX-12A cradle: 0.35 mm per side; 34.0 mm front access window; 4 M3 posts. Front captive M3 nuts: 5.8 AF x 2.8 mm recess in 9.2 mm bosses. Case is located by corners and front/rear lips; no invented motor-body holes. Integral front annular sleeve Ø40.5, sixteen mm bearing length. Polymer fit/friction trial required."
J6_AX_C02_Connector_access_rear_cap,51.2,67.2,4.6,6.743,4.6 mm rear cap; 4 M3 clearance bores matched to cradle. Screws insert from the rear supporting wall and engage front captive nuts. Rear window clears the connector envelope; actual plugs must be checked.
J6_AX_C04_1_Axial_fit_shim_030,31.9,32.663,0.3,0.08,Printed motor seating spacer 0.30 mm. Uses official STEP seating face; rear aperture clears vendor protrusions. Nominal total endplay 0.10 mm; confirm actual hardware seating and adjust thickness after fit coupon. AX front spacer is one connected U at the side/lower seating flange; nonfunctional upper corner remnants are removed.
J6_AX_C04_2_Axial_fit_shim_330,31.9,49.9,3.3,1.851,Printed motor seating spacer 3.30 mm. Uses official STEP seating face; rear aperture clears vendor protrusions. Nominal total endplay 0.10 mm; confirm actual hardware seating and adjust thickness after fit coupon. AX front spacer is one connected U at the side/lower seating flange; nonfunctional upper corner remnants are removed.
J6_AX_C03_1_Screw_stack_spacer,6.8,6.8,1.2,0.04,Printed rear 1.2 mm spacer for standard M3x50 rear-inserted screw; attachment stack depth 5.0 mm.
J6_AX_C03_2_Screw_stack_spacer,6.8,6.8,1.2,0.04,Printed rear 1.2 mm spacer for standard M3x50 rear-inserted screw; attachment stack depth 5.0 mm.
J6_AX_C03_3_Screw_stack_spacer,6.8,6.8,1.2,0.04,Printed rear 1.2 mm spacer for standard M3x50 rear-inserted screw; attachment stack depth 5.0 mm.
J6_AX_C03_4_Screw_stack_spacer,6.8,6.8,1.2,0.04,Printed rear 1.2 mm spacer for standard M3x50 rear-inserted screw; attachment stack depth 5.0 mm.
W10_supported_roll_output,60.0,60.0,23.5,24.484,"Ø40 printed journal / Ø40.5 fixed sleeve;0.25 radial,0.5 front axial clearance. Four M2×6 on16PCD engage stock horn2mm. Output M3 on48PCD at0°; rear captive nuts."
GRIP_C01_Keyed_motor_cradle,51.2,67.2,38.3,21.649,AX-12A cradle: 0.35 mm per side; 34.0 mm front access window; 4 M3 posts. Front M3x45 socket screws into separate rear palm captive nuts. Case is located by corners and front/rear lips; no invented motor-body holes.
GRIP_C02_Connector_access_rear_cap,51.2,67.2,4.6,6.743,4.6 mm rear cap; 4 M3 clearance bores matched to cradle. Screws insert from the rear supporting wall and engage front captive nuts. Rear window clears the connector envelope; actual plugs must be checked.
GRIP_C04_1_Axial_fit_shim_030,31.9,32.663,0.3,0.08,Printed motor seating spacer 0.30 mm. Uses official STEP seating face; rear aperture clears vendor protrusions. Nominal total endplay 0.10 mm; confirm actual hardware seating and adjust thickness after fit coupon. AX front spacer is one connected U at the side/lower seating flange; nonfunctional upper corner remnants are removed.
GRIP_C04_2_Axial_fit_shim_330,31.9,49.9,3.3,1.851,Printed motor seating spacer 3.30 mm. Uses official STEP seating face; rear aperture clears vendor protrusions. Nominal total endplay 0.10 mm; confirm actual hardware seating and adjust thickness after fit coupon. AX front spacer is one connected U at the side/lower seating flange; nonfunctional upper corner remnants are removed.
G01_Windowed_rear_palm,75.0,123.7,6.0,20.118,"75 x123.7 mm open rear frame,4 mm ribs and6 mm local bolted bosses; rear datum -50.95. Four PCD48 phase-zero M3 interface holes, full6 mm seats and M3x12 interface screws supplied by wrist builder. CentreØ26 driver-access opening. Four AX cradle rear captive nuts accept front-inserted M3x45. Four long frame-tie nut pockets also open rearward."
G02_Captured_slide_lower_frame,74.0,120.7,8.7,20.652,"3 mm guide floor with two3 mm-wide bearing lands under each foot. Rails start X±24.35 to clear rack backbones X±24.00. Guide floor Z3.30; slide foot bottom3.65, top8.65; fixed retaining lips startZ9.00. Central stops endY±10.65; outer stops startY±52.35."
G03_1_Rear_frame_standoff,10.0,10.0,45.25,3.886,"45.25 mm long, OD10/ID3.4 printed standoff; clamped by M3x65 between rear palm and retained front rail."
G04_1_Frame_tie_spacer,7.0,7.0,2.15,0.078,Printed axial stack spacer; 3.4 mm M3 clearance bore.
G03_2_Rear_frame_standoff,10.0,10.0,45.25,3.886,"45.25 mm long, OD10/ID3.4 printed standoff; clamped by M3x65 between rear palm and retained front rail."
G04_2_Frame_tie_spacer,7.0,7.0,2.15,0.078,Printed axial stack spacer; 3.4 mm M3 clearance bore.
G03_3_Rear_frame_standoff,10.0,10.0,45.25,3.886,"45.25 mm long, OD10/ID3.4 printed standoff; clamped by M3x65 between rear palm and retained front rail."
G04_3_Frame_tie_spacer,7.0,7.0,2.15,0.078,Printed axial stack spacer; 3.4 mm M3 clearance bore.
G03_4_Rear_frame_standoff,10.0,10.0,45.25,3.886,"45.25 mm long, OD10/ID3.4 printed standoff; clamped by M3x65 between rear palm and retained front rail."
G04_4_Frame_tie_spacer,7.0,7.0,2.15,0.078,Printed axial stack spacer; 3.4 mm M3 clearance bore.
G05_R_Slide_retaining_lip,9.0,120.7,3.0,3.94,Removable 3 mm printed upper guide; 0.35 mm vertical running clearance over carriage feet. Fixed wall clearance at carriage outer edge0.35 mm.
G05_L_Slide_retaining_lip,9.0,120.7,3.0,3.94,Removable 3 mm printed upper guide; 0.35 mm vertical running clearance over carriage feet. Fixed wall clearance at carriage outer edge0.35 mm.
G06_20T_m1p5_AX_rack_pinion,32.999,32.999,22.5,7.047,"20T module1.5,20deg,8 mm face,total tangential backlash0.20. Four M2x6 on16 PCD through4 mm floor leave2 mm horn engagement. Retain supplied centre screw; Ø6x0.3 rear clearance recess. Printed OD8 outboard journal, no added metal bearing."
G07_Pinion_outboard_journal_bridge,74.0,15.0,9.3,4.764,"Integral OD15 boss containsØ8.5 plain bearing forØ8 journal:0.25 mm radial allowance,3.25 mm bearing wall. Bolted to guide centre blocks, above rack teeth. Hand-fit and wear tests required."
G08_1_Bridge_screw_spacer,7.0,7.0,0.5,0.018,Printed axial stack spacer; 3.4 mm M3 clearance bore.
G08_2_Bridge_screw_spacer,7.0,7.0,0.5,0.018,Printed axial stack spacer; 3.4 mm M3 clearance bore.
G09_R_Rack_and_raised_slide,67.0,70.0,18.0,13.1,14 analytic rack teeth; pitch line X15. Raised crossbar bottomZ13 lets opposite rack pass belowZ8 throughout20–70 mm gap. Captured slide feet run Z3.65..8.65 with0.35 mm each-side vertical allowance.
G10_R_Long_finger_75x24x12,42.0,79.0,16.0,18.589,"75 mm finger body (Z22..97),24 mm width,12 mm thickness; keyed replaceable pad. Root flange4 mm with two M3x10 and captive nuts in carriage. Open rear relief leaves3 mm walls behind key and at each side. Tip M3 nut loads through outer-side slot and bears under3.7 mm roof. Print on outer back with key slot up; preview removable supports in open rear pocket and inspect short slot-roof bridges."
G11_R_Flat_and_V_keyed_contact_pad,24.0,71.65,6.0,7.595,"3 mm replaceable printed pad; flat lands maintain specified gap. Central14 mm-wide,1.2 mm-deep V overZ35..85 supports round objects.3 mm front pad plus integral T key slides into finger with0.3 mm side allowance; remove tip cap to replace."
G12_R_Removable_pad_tip_stop,24.0,15.0,3.0,1.306,"3 mm printed axial pad stop. One M3x10 atX0,Yfinger-centre+2 into side-loaded captive nut. Slide pad from tip only after cap removal;0.35 mm nominal pad endplay."
